fixture_id,match,kickoff_utc,gameweek,home_team,away_team,derby,derby_name,home_position_pre,away_position_pre,home_points_pre,away_points_pre,home_gd_pre,away_gd_pre,home_goals_pre,away_goals_pre,home_goals_final,away_goals_final,row_type,row_type_priority,minute_sort,minute,extra_minute,minute_label,participant_id,participant_name,participant_location,player_id,player_name,related_player_id,related_player_name,event_category,event_type_name,event_type_code,info,addition,period_label,time_added_minutes,first_half_added_minutes,second_half_added_minutes,whistle_type,whistle_utc,pressure_value,row_sequence_in_match,row_sequence_global
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,pre_match,0,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,1,1
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,period,2,0.0,0.0,,,,,,,,,,period,period,,,,1st_half,0.0,0.0,,,,,2,2
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,31.0,31.0,,31,52.0,AFC Bournemouth,home,186766.0,J. Lerma,,,card,Yellowcard,yellowcard,Argument,,,,0.0,,,,,3,3
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,31.0,31.0,,31,6.0,Tottenham Hotspur,away,1380.0,Moussa Sissoko,,,card,Yellowcard,yellowcard,Argument,,,,0.0,,,,,4,4
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,period,2,45.0,45.0,,,,,,,,,,period,period,,,,2nd_half,,0.0,,,,,5,5
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,whistle,5,45.0,45.0,,,,,,,,,,,,,,,,,0.0,,half_time,2020-07-09 17:45:00+00:00,,6,6
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,46.0,46.0,,46,6.0,Tottenham Hotspur,away,99148.0,Tanguy Ndombélé,97664.0,Giovani Lo Celso,substitution,Substitution,substitution,,,,,0.0,,,,,7,7
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,46.0,46.0,,46,6.0,Tottenham Hotspur,away,4313.0,Heung-min Son,25776.0,Steven Bergwijn ,substitution,Substitution,substitution,,,,,0.0,,,,,8,8
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,63.0,63.0,,63,52.0,AFC Bournemouth,home,5917.0,Jack Stacey,1095.0,Adam Smith,substitution,Substitution,substitution,,,,,0.0,,,,,9,9
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,66.0,66.0,,66,52.0,AFC Bournemouth,home,5403.0,Harry Wilson,9808.0,David Brooks ,substitution,Substitution,substitution,,,,,0.0,,,,,10,10
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,75.0,75.0,,75,6.0,Tottenham Hotspur,away,95998.0,Lucas Moura,1380.0,Moussa Sissoko,substitution,Substitution,substitution,,,,,0.0,,,,,11,11
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,87.0,87.0,,87,52.0,AFC Bournemouth,home,568.0,Dan Gosling,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,12,12
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,87.0,87.0,,87,6.0,Tottenham Hotspur,away,99148.0,Tanguy Ndombélé,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,13,13
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,whistle,5,90.0,90.0,,,,,,,,,,,,,,,,,0.0,,full_time,2020-07-09 18:45:00+00:00,,14,14
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,91.0,90.0,1.0,90+1,6.0,Tottenham Hotspur,away,164132.0,Gedson Fernandes,95094.0,Serge Aurier,substitution,Substitution,substitution,,,,,0.0,,,,,15,15
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,1,AFC Bournemouth,Tottenham Hotspur,0,,,,,,,,,,0,0,event,4,95.0,90.0,5.0,90+5,52.0,AFC Bournemouth,home,5403.0,Harry Wilson,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,16,16
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,pre_match,0,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,1,17
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,period,2,0.0,0.0,,,,,,,,,,period,period,,,,1st_half,0.0,0.0,,,,,2,18
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,27.0,27.0,,27,14.0,Manchester United,away,129602.0,Bruno Fernandes,,,penalty,Penalty,penalty,,1st Goal,,,0.0,,,,,3,19
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,40.0,40.0,,40,14.0,Manchester United,away,5252.0,Aaron Wan-Bissaka,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,4,20
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,period,2,45.0,45.0,,,,,,,,,,period,period,,,,2nd_half,,0.0,,,,,5,21
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,whistle,5,45.0,45.0,,,,,,,,,,,,,,,,,0.0,,half_time,2020-07-09 20:00:00+00:00,,6,22
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,48.0,45.0,3.0,45+3,14.0,Manchester United,away,1335.0,Nemanja Matić,,,card,Yellowcard,yellowcard,Persistent fouling,,,,0.0,,,,,7,23
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,50.0,45.0,5.0,45+5,14.0,Manchester United,away,20333643.0,Mason Greenwood ,1829.0,Anthony Martial,goal,Goal,goal,,2nd Goal,,,0.0,,,,,8,24
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,52.0,52.0,,52,15.0,Aston Villa,home,7124.0,E. Konsa,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,9,25
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,58.0,58.0,,58,14.0,Manchester United,away,1992.0,Paul Pogba ,129602.0,Bruno Fernandes,goal,Goal,goal,,3rd Goal,,,0.0,,,,,10,26
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,58.0,58.0,,58,15.0,Aston Villa,home,3371.0,Conor Hourihane,25354.0,Anwar El Ghazi,substitution,Substitution,substitution,,,,,0.0,,,,,11,27
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,59.0,59.0,,59,15.0,Aston Villa,home,4579.0,Keinan Davis,62600.0,Ally Samatta,substitution,Substitution,substitution,,,,,0.0,,,,,12,28
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,59.0,59.0,,59,15.0,Aston Villa,home,25126.0,M. Nakamba,172611.0,John McGinn,substitution,Substitution,substitution,,,,,0.0,,,,,13,29
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,66.0,66.0,,66,14.0,Manchester United,away,455376.0,Scott McTominay,1335.0,Nemanja Matić,substitution,Substitution,substitution,,,,,0.0,,,,,14,30
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,66.0,66.0,,66,14.0,Manchester United,away,4536527.0,Brandon Williams,5252.0,Aaron Wan-Bissaka,substitution,Substitution,substitution,,,,,0.0,,,,,15,31
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,71.0,71.0,,71,14.0,Manchester United,away,205411.0,Fred,129602.0,Bruno Fernandes,substitution,Substitution,substitution,,,,,0.0,,,,,16,32
