fixture_id,match,half_time_whistle_utc,full_time_whistle_utc,first_half_added_minutes,second_half_added_minutes
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:45:00+00:00,2020-07-09 18:45:00+00:00,0.0,
11867561,Everton vs Southampton,2020-07-09 17:45:00+00:00,2020-07-09 18:45:00+00:00,0.0,
11867558,Aston Villa vs Manchester United,2020-07-09 20:00:00+00:00,2020-07-09 21:00:00+00:00,0.0,
11867571,Norwich City vs West Ham United,2020-07-11 12:15:00+00:00,2020-07-11 13:15:00+00:00,0.0,
11867574,Watford vs Newcastle United,2020-07-11 12:15:00+00:00,2020-07-11 13:15:00+00:00,0.0,
11867569,Liverpool vs Burnley,2020-07-11 14:45:00+00:00,2020-07-11 15:45:00+00:00,0.0,
11867572,Sheffield United vs Chelsea,2020-07-11 17:15:00+00:00,2020-07-11 18:15:00+00:00,0.0,
11867568,Brighton & Hove Albion vs Manchester City,2020-07-11 19:45:00+00:00,2020-07-11 20:45:00+00:00,0.0,
11867575,Wolverhampton Wanderers vs Everton,2020-07-12 11:45:00+00:00,2020-07-12 12:45:00+00:00,0.0,
11867567,Aston Villa vs Crystal Palace,2020-07-12 14:00:00+00:00,2020-07-12 15:00:00+00:00,0.0,
11867573,Tottenham Hotspur vs Arsenal,2020-07-12 16:15:00+00:00,2020-07-12 17:15:00+00:00,0.0,
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:45:00+00:00,2020-07-12 19:45:00+00:00,0.0,
11867570,Manchester United vs Southampton,2020-07-13 19:45:00+00:00,2020-07-13 20:45:00+00:00,0.0,
11867578,Chelsea vs Norwich City,2020-07-14 20:00:00+00:00,2020-07-14 21:00:00+00:00,0.0,
11867577,Burnley vs Wolverhampton Wanderers,2020-07-15 17:45:00+00:00,2020-07-15 18:45:00+00:00,0.0,
11867582,Manchester City vs AFC Bournemouth,2020-07-15 17:45:00+00:00,2020-07-15 18:45:00+00:00,0.0,
11867583,Newcastle United vs Tottenham Hotspur,2020-07-15 17:45:00+00:00,2020-07-15 18:45:00+00:00,0.0,
11867576,Arsenal vs Liverpool,2020-07-15 20:00:00+00:00,2020-07-15 21:00:00+00:00,0.0,
11867580,Everton vs Aston Villa,2020-07-16 17:45:00+00:00,2020-07-16 18:45:00+00:00,0.0,
11867581,Leicester City vs Sheffield United,2020-07-16 17:45:00+00:00,2020-07-16 18:45:00+00:00,0.0,
11867579,Crystal Palace vs Manchester United,2020-07-16 20:00:00+00:00,2020-07-16 21:00:00+00:00,0.0,
11867584,Southampton vs Brighton & Hove Albion,2020-07-16 20:00:00+00:00,2020-07-16 21:00:00+00:00,0.0,
11867585,West Ham United vs Watford,2020-07-17 19:45:00+00:00,2020-07-17 20:45:00+00:00,0.0,
11867591,Norwich City vs Burnley,2020-07-18 17:15:00+00:00,2020-07-18 18:15:00+00:00,0.0,
